run_uid,dataset,seed,round,runtime,strategy,attack_type,attack_plan_id,target_label,topology,num_clients,partition_scheme,client_id,is_malicious,attack_active,poisoned_samples,eligible_poison_samples,poisoned_batches,dba_trigger_part,admitted,admission_score,niabd_anomaly_fraction,niabd_mean_abs_deviation,niabd_max_abs_deviation,niabd_mean_suppression,niabd_memory_eligible
6c421b7b0d05,tiny-imagenet-200,0,1,sync,niabd,badnets,3ce7fdda56ce17a78b6c22278496192e710b478c764c0dc8c011eba5ee10b72d,0,server-client,2,dirichlet,0,True,True,35,174,3,-1,True,,0.0,0.0,0.0,0.0,True
6c421b7b0d05,tiny-imagenet-200,0,1,sync,niabd,badnets,3ce7fdda56ce17a78b6c22278496192e710b478c764c0dc8c011eba5ee10b72d,0,server-client,2,dirichlet,1,False,False,0,0,0,-1,True,,0.0,0.0,0.0,0.0,True
6c421b7b0d05,tiny-imagenet-200,0,2,sync,niabd,badnets,3ce7fdda56ce17a78b6c22278496192e710b478c764c0dc8c011eba5ee10b72d,0,server-client,2,dirichlet,0,True,True,35,174,3,-1,True,,0.05225000157952309,0.8813959360122681,3.9613492488861084,0.00609847204759717,True
6c421b7b0d05,tiny-imagenet-200,0,2,sync,niabd,badnets,3ce7fdda56ce17a78b6c22278496192e710b478c764c0dc8c011eba5ee10b72d,0,server-client,2,dirichlet,1,False,False,0,0,0,-1,True,,0.09525000303983688,0.9582844376564026,4.766519546508789,0.010544958524405956,False
