run_uid,dataset,seed,round,topology,num_clients,partition_scheme,admission_method,client_id,admitted,score,version_score,age_seconds,model_round,minimum_accepted_round,proxy_accuracy,mean_entropy,mean_kl,num_classes,accuracy_term,entropy_term,divergence_term,content_score
7a706d2c38fc,tiny-imagenet-200,0,1,server-client,2,dirichlet,vcaa,0,True,0.6482100391348118,0.9998561230429802,0.8589999999967404,1.0,0.0,0.0,5.290214157104492,0.201121187210083,200.0,0.0,0.36844250387255906,0.8178133170340145,0.29656395522664336
7a706d2c38fc,tiny-imagenet-200,0,1,server-client,2,dirichlet,vcaa,1,True,0.6488060036212804,0.9999268027329168,0.4370000000053551,1.0,0.0,0.0,5.284609985351563,0.19612632989883422,200.0,0.0,0.3688324215237664,0.8219083965148096,0.297685204509644
7a706d2c38fc,tiny-imagenet-200,0,2,server-client,2,dirichlet,vcaa,0,True,0.6621844110382888,0.9998613149828789,0.8279999999940628,2.0,1.0,0.0,5.277849578857422,0.07394077777862548,200.0,0.0,0.3693033349042866,0.9287266934705082,0.3245075070936987
7a706d2c38fc,tiny-imagenet-200,0,2,server-client,2,dirichlet,vcaa,1,True,0.6631375687304054,0.9999293151361245,0.42199999999138527,2.0,1.0,0.0,5.283755493164063,0.06561496257781982,200.0,0.0,0.36889191019092255,0.9364913791078228,0.32634582232468634
