run_uid,dataset,seed,round,runtime,strategy,topology,server_role,client_role,server_model,client_model,server_device,client_device,num_clients,partition_scheme,knowledge_interface,aggregation_rule,vcaa_enabled,admission_method,niabd_enabled,defense_method,attack_type,attack_plan_id,target_label,malicious_fraction,poison_ratio,attack_start_round,attack_active,poisoned_samples,eligible_poison_samples,attack_stats_missing_count,basr_global,basr_global_numerator,basr_global_denominator,basr_local_1,basr_local_2,basr_local_3,basr_local_4,malicious_mean_anomaly_fraction,benign_mean_anomaly_fraction,malicious_mean_suppression,benign_mean_suppression,malicious_memory_eligible_rate,benign_memory_eligible_rate,accuracy,loss,local_train_time_s,upload_time_s,admission_time_s,defense_time_s,distill_time_s,round_time_s,wall_clock_time_s,clients_trained,server_client_distillations,server_updates_from_clients,client_upload_bytes,server_broadcast_bytes,client_reverse_distillations,server_update_applied,teachers_admitted,teachers_rejected,teacher_utilization,admission_threshold,admission_score_mean,vcaa_version_score_mean,vcaa_content_score_mean,vcaa_proxy_accuracy_mean,vcaa_entropy_mean,vcaa_kl_mean,teachers_purified,niabd_warmup,niabd_anomaly_fraction,niabd_mean_suppression,niabd_threshold_mean,niabd_threshold_min,niabd_threshold_max,niabd_prototype_updated,niabd_prototype_observations,niabd_memory_eligible_teachers,nonfinite_eval_batches,nonfinite_distill_rollbacks,numeric_failure_count,aggregation_time_s,client_wire_bytes,selected_clients,dispatched_clients,busy_skipped_clients,offline_clients,packets_consumed,fresh_packets,mild_stale_packets,moderate_stale_packets,severe_stale_packets,mean_version_lag,max_version_lag,mean_knowledge_age_s,max_knowledge_age_s,upload_attempt_drop_count,rpc_timeout_count,retry_count,quorum_required,quorum_reached,soft_deadline_s,hard_deadline_s
7134f8d041f0,cinic10,0,1,process-semi-async,vcaa-niabd,server-client,global-student,local-teacher,resnet18,resnet18,cpu,cpu,2,dirichlet,localhost-tcp-serialized-proxy-logits,mean-soft-probabilities,1,vcaa,1,niabd,badnets,0929e14898105948c111955b5104caa6bb4487a5585f8ea4385db2f12cab0221,0,0.5,0.2,1,1,0,0,0,0.0,0,36,,,,,,0.0,,0.0,,1.0,0.1,2.3111443519592285,1.9529999999940628,0.04700000000593718,0.062000000005355105,0.0629999999946449,0.20300000000861473,2.6719999999913853,5.735000000000582,1,1,1,800,1600,1,1,1,0,1.0,0.0,0.6713838086212579,0.9999790620195078,0.342788555223008,0.05,2.2970149993896483,0.1027153730392456,1,1.0,0.0,0.0,2.0,2.0,2.0,1.0,20.0,1.0,0,0,0.0,0.0,2096,2,2,0,0,1,1,0,0,0,0.0,0.0,0.0629999999946449,0.0629999999946449,1,0,1,1,1,1.0,60.0
7134f8d041f0,cinic10,0,2,process-semi-async,vcaa-niabd,server-client,global-student,local-teacher,resnet18,resnet18,cpu,cpu,2,dirichlet,localhost-tcp-serialized-proxy-logits,mean-soft-probabilities,1,vcaa,1,niabd,badnets,0929e14898105948c111955b5104caa6bb4487a5585f8ea4385db2f12cab0221,0,0.5,0.2,1,1,10,52,0,0.0,0,36,,,,,0.20999999344348907,,0.10120189934968948,,0.0,,0.075,2.300421714782715,2.812999999994645,0.0,0.04700000000593718,0.07799999999406282,0.1870000000053551,1.6090000000112923,7.344000000011874,1,1,1,800,800,1,1,1,0,1.0,0.6713838086212579,0.6812292952780274,0.9998507636494272,0.36260782690662785,0.05,2.2900070190429687,0.01965510845184326,1,0.0,0.20999999344348907,0.10120189934968948,2.000692844390869,1.9999500513076782,2.0033998489379883,0.0,20.0,0.0,0,0,0.0,0.0,4199,2,1,1,0,1,0,1,0,0,1.0,1.0,0.8439999999973224,0.8439999999973224,0,1,1,1,1,1.0,10.0
7134f8d041f0,cinic10,0,3,process-semi-async,vcaa-niabd,server-client,global-student,local-teacher,resnet18,resnet18,cpu,cpu,2,dirichlet,localhost-tcp-serialized-proxy-logits,mean-soft-probabilities,1,vcaa,1,niabd,badnets,0929e14898105948c111955b5104caa6bb4487a5585f8ea4385db2f12cab0221,0,0.5,0.2,1,1,10,52,0,0.0,0,36,,,,,0.13500000536441803,,0.043455448001623154,,0.0,,0.1,2.3000526428222656,2.25,0.01600000000325963,0.062000000005355105,0.046999999991385266,0.17200000000593718,2.8589999999967404,10.203000000008615,1,1,1,800,800,1,1,1,0,1.0,0.671383808621258,0.6824903676223169,0.9999842545977877,0.3649964806468459,0.05,2.296124076843262,0.008967318385839463,1,0.0,0.13500000536441803,0.043455448001623154,2.0008959770202637,1.9999001026153564,2.003349781036377,0.0,20.0,0.0,0,0,0.0,0.0,2072,2,1,1,0,1,1,0,0,0,0.0,0.0,0.03200000000651926,0.03200000000651926,0,0,0,1,1,1.0,10.0
7134f8d041f0,cinic10,0,4,process-semi-async,vcaa-niabd,server-client,global-student,local-teacher,resnet18,resnet18,cpu,cpu,2,dirichlet,localhost-tcp-serialized-proxy-logits,mean-soft-probabilities,1,vcaa,1,niabd,badnets,0929e14898105948c111955b5104caa6bb4487a5585f8ea4385db2f12cab0221,0,0.5,0.2,1,1,0,0,0,0.0,0,36,,,,,,0.019999999552965164,,0.000596853788010776,,1.0,0.1,2.307108163833618,2.188000000009197,0.0,0.06199999999080319,0.04700000000593718,0.1879999999946449,1.937999999994645,12.14100000000326,1,1,1,800,800,1,1,1,0,1.0,0.6734026164060157,0.6945416399194095,0.9993825975331916,0.3897006823056275,0.1,2.2958505630493162,0.010206155478954315,1,0.0,0.019999999552965164,0.000596853788010776,2.0008459091186523,1.9998501539230347,2.0032997131347656,1.0,40.0,1.0,0,0,0.0,0.0,2112,2,1,1,0,1,0,0,1,0,2.0,2.0,3.625,3.625,0,0,0,1,1,1.0,10.0
