run_uid,dataset,seed,round,topology,num_clients,partition_scheme,admission_method,client_id,admitted,score,version_score,age_seconds,model_round,minimum_accepted_round,proxy_accuracy,mean_entropy,mean_kl,num_classes,accuracy_term,entropy_term,divergence_term,content_score,task_id,packet_id,source_round,consumed_round,version_lag,raw_version_lag,version_lag_score,age_score,knowledge_age_s,vcaa_algorithm_version,vcaa_nonfinite_policy,result_schema_version,vcaa_history_size,base_server_round,generated_at_s,received_at_s,consumed_at_s,proxy_version,hard_valid,hard_rejection_reason,absolute_version_valid,timestamp_valid,age_valid,freshness_score,content_reliability,content_threshold,content_valid,content_gate_active,content_rejection_reason,rejection_reason,content_threshold_source,content_history_observations,aggregation_weight,transport_age_s,queue_age_s,consensus_divergence,entropy_deviation,strategy,attack_type,content_score_center,content_score_scale,content_score_z,normalized_aggregation_weight,effective_weight_ratio_to_uniform,weighting_mode,vcaa_threshold_used_for_weighting,vcaa_final_score_used_for_weighting,effective_age_half_life_s,effective_max_knowledge_age_s,age_scale_mode
3ef75fdf27cb,cifar10,0,1,server-client,4,dirichlet,vcaa,0,True,0.9448255160915771,1.0,0.040940083999885246,1.0,0.0,0.1171875,2.301525831222534,0.0015212994767352939,10.0,0.1171875,0.36638468503952026,0.9999080300331116,0.40016692876815796,,,1.0,,0.0,0.0,1.0,0.9448255160915771,0.040940083999885246,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,0.0,99108.364117291,99108.394794291,99108.405057375,,1.0,,1.0,1.0,1.0,0.9448255160915771,1.0,,1.0,0.0,gate_inactive_warmup_disabled,,warmup_disabled,0.0,0.9448255160915771,0.030677000002469867,0.010263083997415379,9.198197221849114e-05,1.004071471493568,vcaa,badnets,0.42192544788122177,0.10542872791205299,-0.20638131127992393,0.2447152387480163,0.9788609549920652,warmup_uniform,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,1,server-client,4,dirichlet,vcaa,1,True,0.9584213265053045,1.0,0.030634041992016137,1.0,0.0,0.1328125,2.301307201385498,0.0017183382296934724,10.0,0.1328125,1.0,0.9998481273651123,0.5663682818412781,,,1.0,,0.0,0.0,1.0,0.9584213265053045,0.030634041992016137,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,0.0,99108.374423333,99108.394813958,99108.405057375,,1.0,,1.0,1.0,1.0,0.9584213265053045,1.0,,1.0,0.0,gate_inactive_warmup_disabled,,warmup_disabled,0.0,0.9584213265053045,0.020390624995343387,0.01024341699667275,0.0001518860226497054,0.0,vcaa,badnets,0.42192544788122177,0.10542872791205299,1.370051947136726,0.24823663178271246,0.9929465271308499,warmup_uniform,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,1,server-client,4,dirichlet,vcaa,2,True,0.9719326493575876,1.0,0.020535874995402992,1.0,0.0,0.1015625,2.3025853633880615,0.0015813770005479455,10.0,0.1015625,0.0028227590955793858,0.9999024868011475,0.3014625614741817,,,1.0,,0.0,0.0,1.0,0.9719326493575876,0.020535874995402992,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,0.0,99108.3845215,99108.394827791,99108.405057375,,1.0,,1.0,1.0,1.0,0.9719326493575876,1.0,,1.0,0.0,gate_inactive_warmup_disabled,,warmup_disabled,0.0,0.9719326493575876,0.010306290991138667,0.010229584004264325,9.754091297509149e-05,5.870040522003291,vcaa,badnets,0.42192544788122177,0.10542872791205299,-1.1426002076732666,0.2517361420534295,1.006944568213718,warmup_uniform,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,1,server-client,4,dirichlet,vcaa,3,True,0.9857386957537573,1.0,0.010361416992964223,1.0,0.0,0.1328125,2.3011603355407715,0.002341901883482933,10.0,0.1328125,0.5094157457351685,0.9996951222419739,0.4436839669942856,,,1.0,,0.0,0.0,1.0,0.9857386957537573,0.010361416992964223,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,0.0,99108.394695958,99108.39484025,99108.405057375,,1.0,,1.0,1.0,1.0,0.9857386957537573,1.0,,1.0,0.0,gate_inactive_warmup_disabled,,warmup_disabled,0.0,0.9857386957537573,0.00014429198927246034,0.010217125003691763,0.0003049439110327512,0.6744907594765952,vcaa,badnets,0.42192544788122177,0.10542872791205299,0.20638131127992393,0.25531198741584177,1.021247949663367,warmup_uniform,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,2,server-client,4,dirichlet,vcaa,0,True,0.7918111016333522,1.0,0.03481791599188,2.0,1.0,0.1171875,2.3014938831329346,0.0015270235016942024,10.0,0.1171875,0.5094157457351685,0.9998627305030823,0.4359133690595627,,,2.0,,0.0,0.0,1.0,0.9528784952169058,0.03481791599188,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,1.0,99110.487315,99110.513594083,99110.522132916,,1.0,,1.0,1.0,1.0,0.9528784952169058,0.6619350853397329,,1.0,0.0,gate_inactive_insufficient_history,,insufficient_history,0.0,0.7918111016333522,0.026279082987457514,0.008538833004422486,0.00013729768397752196,0.6744907594765952,vcaa,badnets,0.3684498690563487,0.1004026373763205,0.671929560479105,0.2626654095602871,1.0506616382411484,robust_relative_sigmoid,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,2,server-client,4,dirichlet,vcaa,1,True,0.9086342027467424,1.0,0.025196707996656187,2.0,1.0,0.140625,2.301377296447754,0.0017125881277024746,10.0,0.140625,1.0,0.9998804330825806,0.5702826082706451,,,2.0,,0.0,0.0,1.0,0.9656729586489677,0.025196707996656187,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,1.0,99110.496936208,99110.513611458,99110.522132916,,1.0,,1.0,1.0,1.0,0.9656729586489677,0.8818673436149111,,1.0,0.0,gate_inactive_insufficient_history,,insufficient_history,0.0,0.9086342027467424,0.016675249993568286,0.0085214580030879,0.00011954719229834154,0.0,vcaa,badnets,0.3684498690563487,0.1004026373763205,2.0102334409583724,0.30141882895129274,1.205675315805171,robust_relative_sigmoid,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,2,server-client,4,dirichlet,vcaa,2,True,0.6529837670745098,1.0,0.016896832996280864,2.0,1.0,0.1015625,2.2980310916900635,0.007670510560274124,10.0,0.1015625,3.913434465374621e-09,0.9987632632255554,0.30047206678474747,,,2.0,,0.0,0.0,1.0,0.9768482276449835,0.016896832996280864,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,1.0,99110.505236083,99110.513624916,99110.522132916,,1.0,,1.0,1.0,1.0,0.9768482276449835,0.3369195922047044,,1.0,0.0,gate_inactive_insufficient_history,,insufficient_history,0.0,0.6529837670745098,0.008388832997297868,0.008507999998982996,0.0012375031365081668,19.35885032567283,vcaa,badnets,0.3684498690563487,0.1004026373763205,-0.6770519584740855,0.21661258381076068,0.8664503352430427,robust_relative_sigmoid,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,2,server-client,4,dirichlet,vcaa,3,True,0.6610946260466277,1.0,0.008609707991126925,2.0,1.0,0.1015625,2.3025853633880615,0.0015813770005479455,10.0,0.1015625,0.0009219233179464936,0.9998985528945923,0.3009863690531347,,,2.0,,0.0,0.0,1.0,0.9881353569673095,0.008609707991126925,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,1.0,99110.513523208,99110.513637375,99110.522132916,,1.0,,1.0,1.0,1.0,0.9881353569673095,0.33806491466026706,,1.0,0.0,gate_inactive_insufficient_history,,insufficient_history,0.0,0.6610946260466277,0.00011416699271649122,0.008495540998410434,0.00010147887223865837,6.989048421815762,vcaa,badnets,0.3684498690563487,0.1004026373763205,-0.671929560479105,0.2193031776776595,0.877212710710638,robust_relative_sigmoid,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,3,server-client,4,dirichlet,vcaa,0,True,0.7352953271916542,1.0,0.03704654099419713,3.0,2.0,0.125,2.301457405090332,0.0015406396705657244,10.0,0.125,0.5094157457351685,0.9998983144760132,0.4398285150527954,,,3.0,,0.0,0.0,1.0,0.9499390912855307,0.03704654099419713,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,2.0,99112.217691875,99112.2460455,99112.254738416,,1.0,,1.0,1.0,1.0,0.9499390912855307,0.5480894173890581,,1.0,0.0,gate_inactive_insufficient_history,,insufficient_history,0.0,0.7352953271916542,0.028353624991723336,0.008692916002473794,0.00010167080472456291,0.6744907594765952,vcaa,badnets,0.4199453070759773,0.10304630458346291,0.19295410987507633,0.2508584810857965,1.003433924343186,robust_relative_sigmoid,0.0,1.0,0.5,2.0,runtime-calibrated
3ef75fdf27cb,cifar10,0,3,server-client,4,dirichlet,vcaa,1,True,0.8735754398365695,1.0,0.02603754099982325,3.0,2.0,0.140625,2.301356554031372,0.0016428667586296797,10.0,0.140625,1.0,0.9998766779899597,0.5702816694974899,,,3.0,,0.0,0.0,1.0,0.9645479854263409,0.02603754099982325,vcaa-v5-lineage-content-admission-runtime-age,fail_closed,fedagg-results-v3,1,2.0,99112.228700875,99112.24606225,99112.254738416,,1.0,,1.0,1.0,1.0,0.9645479854263409,0.8113675069269665,,1.0,0.0,gate_inactive_insufficient_history,,insufficient_history,0.0,0.8735754398365695,0.017361374993924983,0.008676166005898267,0.0001233463699463755,0.0,vcaa,badnets,0.4199453070759773,0.10304630458346291,1.4589204632733517,0.29803508855175787,1.1921403542070315,robust_relative_sigmoid,0.0,1.0,0.5,2.0,runtime-calibrated
